"model","pk","fields__user","fields__product","fields__rating","fields__created_at","fields__name","fields__description","fields__price","fields__image_url","fields__image","fields__category","fields__subcategory"
"products.product","7","","","","","Gouda cheese","Golden Hoof Gouda cheese is a rich, creamy cheese that is carefully aged for the perfect texture and flavor. Made from milk produced by our happy, healthy cows that graze on lush, green pastures, this cheese has a mild yet flavorful taste that becomes sharper with age. At Golden Hoof, we focus on sustainable practices, using natural feed and promoting the well-being of our animals to produce the best possible milk for this exceptional cheese. Whether you're using it on sandwiches, in sauces, or simply enjoying it on its own, Golden Hoof Gouda is sure to impress.","8.00","null","gauda_cheeses-1.jpeg","2","5"
"products.product","8","","","","","Ground Beef","At Golden Hoof, our ground beef is made from the highest quality cuts of beef, sourced from our pasture-raised cows. These cows are fed a natural diet of grass and grains, producing beef that is tender, flavorful, and full of nutrients. Our beef is carefully ground to ensure the perfect texture for burgers, meatballs, or any dish that calls for ground meat. We believe in sustainable farming and ethical treatment of animals, ensuring that our products not only taste great but are produced with respect for the environment.","7.50","null","ground-beef-1.jpeg","1","1"
"products.product","9","","","","","Milk 2.5%","Golden Hoof milk comes from our healthy, pasture-raised cows that graze on lush, green grass. The cows are given access to fresh air, clean water, and high-quality feed, which results in milk that is rich in nutrients and full of flavor. Our milk is processed with care to ensure it retains all of its natural goodness. Whether you're drinking it on its own, adding it to your coffee, or using it for baking, Golden Hoof milk will bring a fresh, creamy touch to your meals. We pride ourselves on offering a high-quality, sustainable product.","1.30","null","milk-1.jpeg","2","4"
"products.product","10","","","","","Parsley","Golden Hoof parsley is grown with love and care, nurtured in nutrient-rich soil and watered with natural, organic fertilizers. This vibrant green herb is packed with vitamins, antioxidants, and fiber, making it the perfect addition to any dish. ItÆs ideal for garnishing salads, soups, and stews, or for adding a fresh, herbal flavor to sauces and dressings. At Golden Hoof, we use sustainable farming methods to grow our parsley, ensuring you get a product that is both healthy and environmentally friendly.","6.00","null","parsley.jpeg","3","9"
"products.product","11","","","","","Pear","Golden Hoof pears are grown with care and attention, harvested at the perfect moment to ensure they are sweet, juicy, and full of flavor. These pears are nurtured in nutrient-rich soil, with natural fertilizers and sustainable farming practices. Whether eaten fresh, poached, or baked into a delicious dessert, Golden Hoof pears are the perfect addition to any meal. They are packed with fiber, vitamins, and minerals, making them a healthy and tasty choice for your diet.","3.00","null","pears.jpeg","3","10"
"products.product","12","","","","","Bell pepper","Golden Hoof bell peppers are grown in fertile soil with a focus on sustainability. These peppers are rich in vitamins and antioxidants, offering a sweet and crunchy flavor that enhances any dish. They are perfect for salads, stir-fries, or grilling, and their bright colors make them a beautiful addition to any meal. We use natural fertilizers and environmentally friendly farming practices to grow our peppers, ensuring they are as healthy for you as they are for the environment.","2.50","null","peppers.jpeg","3","8"
"products.product","13","","","","","Quail eggs","Quail eggs from Golden Hoof are a delicacy, known for their rich, creamy texture and unique, subtle flavor. Raised on the same natural, high-quality feed as our other animals, these eggs are packed with protein and essential nutrients. They are perfect for gourmet dishes, appetizers, or simply enjoyed on their own. At Golden Hoof, we take pride in producing quail eggs that are not only delicious but also ethically sourced and produced with respect for the environment.","5.00","null","quail-eggs-1.jpeg","2","7"
"products.product","14","","","","","Raspberry","Golden Hoof raspberries are grown with love in our fertile, organic soil. These delicate berries are handpicked at the peak of ripeness, ensuring they are bursting with flavor. Packed with antioxidants and vitamins, they are perfect for smoothies, jams, or enjoying fresh. Our raspberries are cultivated using sustainable farming practices, with minimal environmental impact, so you can enjoy them guilt-free. At Golden Hoof, we believe in creating the finest quality produce with care and attention to detail.","5.00","null","raspberry.jpeg","3","11"
"products.product","15","","","","","Beef","Golden Hoof raw beef is sourced from our pasture-raised cows, ensuring it is naturally marbled and full of flavor. The cows are given the best possible environment to thrive, with access to lush pastures and clean water. Our beef is carefully processed to maintain its tenderness, allowing for a rich and juicy eating experience. This high-quality beef is perfect for grilling, stewing, or slow-roasting, offering a melt-in-your-mouth experience. At Golden Hoof, we focus on sustainability and humane treatment of animals, ensuring the beef we provide is top-tier and ethically sourced.","8.00","null","raw-beef-1.jpeg","1","1"
"products.product","16","","","","","Chicken Fillet","Golden Hoof chicken fillets come from free-range chickens raised with care and attention. They are fed a healthy, natural diet, resulting in tender, juicy fillets that are perfect for grilling, frying, or baking. Our chickens are allowed to roam freely, ensuring they live healthy, stress-free lives. This humane approach to farming results in a higher quality of meat, packed with flavor. Golden Hoof fillets are ideal for your family meals, offering a healthy, lean protein that you can trust.","8.00","null","raw-chicken-fillet.jpeg","1","3"
"products.product","17","","","","","Chicken Legs","Golden Hoof chicken legs are hand-selected from our free-range chickens, ensuring the best possible flavor and tenderness. Raised on natural feed and given ample space to roam, our chickens produce rich, flavorful meat that is perfect for roasting, grilling, or slow-cooking. These legs are packed with protein and ideal for hearty, delicious meals. We pride ourselves on our sustainable and ethical farming practices, ensuring our chickens are treated with care and respect.","5.00","null","raw-chicken-legs.jpeg","1","3"
"products.product","18","","","","","Chicken Wings","At Golden Hoof, our raw chicken wings are sourced from free-range chickens that are raised with love and care. The chickens are given access to fresh air, natural feed, and space to roam, which results in tender, flavorful wings. These wings are perfect for grilling, baking, or frying, offering a satisfying and tasty snack or meal. We focus on sustainable farming practices to ensure that each chicken wing is produced with minimal environmental impact while providing the best possible quality.","5.00","null","raw-chicken-wings.jpeg","1","3"
"products.product","19","","","","","Lamb","Golden Hoof lamb is pasture-raised, allowing our sheep to graze on the lush grass that nature intended. The result is meat that is tender, juicy, and packed with flavor. Our lamb is carefully butchered and processed to preserve its rich, natural taste. Whether youÆre roasting a leg of lamb, making a stew, or preparing a traditional rack of lamb, Golden Hoof raw lamb will make your dish stand out. We are committed to sustainable and humane farming practices, ensuring that our lamb is produced with care for the animals and the environment.","10.00","null","raw-lamb-1.jpeg","1","2"
"products.product","20","","","","","Lamb Ribs","Golden Hoof lamb ribs are a true delicacy. Sourced from pasture-raised sheep, these ribs are full of flavor and tenderness, offering a melt-in-your-mouth experience with every bite. Our lambs are given a natural diet, and the meat is processed to preserve its juiciness and tenderness. These ribs are perfect for grilling or slow-cooking, making them ideal for your next family gathering or special occasion. At Golden Hoof, we believe in sustainable farming, producing high-quality lamb that is ethically raised.","12.00","null","raw-lamb-ribs-1.jpeg","1","2"
"products.product","21","","","","","Sausages (Beef)","Golden Hoof beef sausages are made with premium-quality beef, sourced from our pasture-raised cows. These sausages are packed with flavor and made with natural spices and ingredients to ensure a rich, authentic taste. Perfect for grilling or pan-frying, these sausages are a great addition to any meal. We take pride in using sustainable practices to raise our cattle, ensuring that our sausages are both delicious and ethically produced. Golden Hoof beef sausages are perfect for family barbecues or cozy dinners.","8.50","null","sausages-beef-1.jpeg","1","1"
"products.product","22","","","","","Spinach","Golden Hoof spinach is grown in the nutrient-rich soil of our farm, ensuring that each leaf is packed with vitamins, minerals, and flavor. We use organic fertilizers and sustainable farming methods to grow our spinach, making it as healthy for you as it is for the environment. Spinach is perfect for salads, smoothies, or adding to your favorite dishes for a nutritional boost. At Golden Hoof, we believe in growing our produce with care and respect for the land, ensuring the highest-quality spinach.","3.00","null","spinach.jpeg","3","9"
"products.product","23","","","","","Strawberry","Golden Hoof strawberries are handpicked at the peak of ripeness, ensuring they are bursting with sweetness and flavor. Our strawberries are grown using sustainable, organic methods, ensuring they are not only delicious but also environmentally friendly. These berries are perfect for desserts, jams, smoothies, or simply enjoying fresh. Full of antioxidants and vitamins, Golden Hoof strawberries are a healthy and delightful treat for you and your family.","5.50","null","strawberry.jpeg","3","11"
"products.product","24","","","","","Tomatoes","Golden Hoof tomatoes are grown in fertile, organic soil, nurtured by natural fertilizers and plenty of sunshine. These tomatoes are full of flavor, with a perfect balance of sweetness and acidity. Whether youÆre using them in a salad, making pasta sauce, or enjoying them fresh, Golden Hoof tomatoes will add a burst of flavor to any dish. Our commitment to sustainable farming means that every tomato is grown with love, care, and respect for the environment.","4.00","null","tomatoes.jpeg","3","8"
"products.rating","9","2","16","3","2025-02-28T12:27:46.917Z","","","","","","",""
"products.rating","10","2","2","4","2025-02-28T12:46:55.236Z","","","","","","",""
"products.rating","11","2","13","3","2025-02-28T12:50:04.380Z","","","","","","",""
"products.rating","12","2","7","5","2025-02-28T13:20:34.057Z","","","","","","",""
"products.rating","13","2","3","2","2025-02-28T13:23:26.075Z","","","","","","",""
"products.rating","14","2","1","4","2025-02-28T13:28:47.598Z","","","","","","",""
